0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:39:14 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:39:15 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:39:42 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:41:23 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:41:24 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:41:24 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:41:48 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:36 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:38 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:39 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:42 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:43 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:44 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:44:52 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 200 129
